year,month,dayofyear,time_of_day,rate_of_change,weekday,wind_chill,rel_hum_,rain,snow,is_holiday
2016,8,214,3,-3.0,0,24.725,74.25,0.0,0.0,1
2016,8,214,4,-5.0,0,24.925,63.25,0.0,0.0,1
2016,8,214,5,2.0,0,22.475,75.5,0.0,0.0,1
2016,8,215,0,6.0,1,21.85,70.5,0.0,0.0,0
2016,8,215,1,1.0,1,20.825000000000003,77.25,0.0,0.0,0
2016,8,215,2,1.0,1,23.575000000000003,78.5,0.0,0.0,0
2016,8,215,3,-6.0,1,25.1,68.25,0.0,0.0,0
2016,8,215,4,-2.0,1,25.25,60.0,0.0,0.0,0
2016,8,215,5,-26.0,1,22.799999999999997,76.75,0.0,0.0,0
2016,8,216,0,8.0,2,21.9,84.5,0.0,0.0,0
2016,8,216,1,0.0,2,20.75,88.5,0.0,0.0,0
2016,8,216,2,4.0,2,24.2,71.75,0.0,0.0,0
2016,8,216,3,-6.0,2,25.325,70.0,0.0,0.0,0
2016,8,216,4,-4.0,2,25.7,68.5,0.0,0.0,0
2016,8,216,5,-19.0,2,23.299999999999997,88.0,0.0,0.0,0
2016,8,217,0,-12.0,3,22.375,88.75,0.0,0.0,0
2016,8,217,1,0.0,3,22.150000000000002,90.75,0.0,0.0,0
2016,8,217,2,0.0,3,25.15,78.5,0.0,0.0,0
2016,8,217,3,2.0,3,28.375,53.75,0.0,0.0,0
2016,8,217,4,-6.0,3,27.099999999999998,66.75,0.0,0.0,0
2016,8,217,5,-33.0,3,25.099999999999998,76.75,0.0,0.0,0
2016,8,218,0,4.0,4,24.2,89.0,0.0,0.0,0
2016,8,218,1,1.0,4,24.25,84.25,0.0,0.0,0
2016,8,218,2,-5.0,4,26.049999999999997,81.25,0.0,0.0,0
2016,8,218,3,2.0,4,27.974999999999998,73.5,0.0,0.0,0
2016,8,218,4,2.0,4,27.9,70.25,0.0,0.0,0
2016,8,218,5,-20.0,4,26.55,67.5,0.0,0.0,0
2016,8,219,0,2.0,5,23.174999999999997,57.5,0.0,0.0,0
2016,8,219,1,2.0,5,20.525,68.5,0.0,0.0,0
2016,8,219,2,-3.0,5,24.4,57.75,0.0,0.0,0
2016,8,219,3,-4.0,5,27.55,46.5,0.0,0.0,0
2016,8,219,4,-5.0,5,27.125,51.75,0.0,0.0,0
2016,8,219,5,-2.0,5,24.4,48.0,0.0,0.0,0
2016,8,220,0,2.0,6,21.2,62.25,0.0,0.0,0
2016,8,220,1,-1.0,6,19.625,70.25,0.0,0.0,0
